prompt,classname,classidx
"A photo of a Acadian Flycatcher, a type of bird.",Acadian_Flycatcher,0
"A photo of a American Crow, a type of bird.",American_Crow,1
"A photo of a American Goldfinch, a type of bird.",American_Goldfinch,2
"A photo of a American Pipit, a type of bird.",American_Pipit,3
"A photo of a American Redstart, a type of bird.",American_Redstart,4
"A photo of a American Three toed Woodpecker, a type of bird.",American_Three_toed_Woodpecker,5
"A photo of a Anna Hummingbird, a type of bird.",Anna_Hummingbird,6
"A photo of a Artic Tern, a type of bird.",Artic_Tern,7
"A photo of a Baird Sparrow, a type of bird.",Baird_Sparrow,8
"A photo of a Baltimore Oriole, a type of bird.",Baltimore_Oriole,9
"A photo of a Bank Swallow, a type of bird.",Bank_Swallow,10
"A photo of a Barn Swallow, a type of bird.",Barn_Swallow,11
"A photo of a Bay breasted Warbler, a type of bird.",Bay_breasted_Warbler,12
"A photo of a Belted Kingfisher, a type of bird.",Belted_Kingfisher,13
"A photo of a Bewick Wren, a type of bird.",Bewick_Wren,14
"A photo of a Black Tern, a type of bird.",Black_Tern,15
"A photo of a Black and white Warbler, a type of bird.",Black_and_white_Warbler,16
"A photo of a Black billed Cuckoo, a type of bird.",Black_billed_Cuckoo,17
"A photo of a Black capped Vireo, a type of bird.",Black_capped_Vireo,18
"A photo of a Black footed Albatross, a type of bird.",Black_footed_Albatross,19
"A photo of a Black throated Blue Warbler, a type of bird.",Black_throated_Blue_Warbler,20
"A photo of a Black throated Sparrow, a type of bird.",Black_throated_Sparrow,21
"A photo of a Blue Grosbeak, a type of bird.",Blue_Grosbeak,22
"A photo of a Blue Jay, a type of bird.",Blue_Jay,23
"A photo of a Blue headed Vireo, a type of bird.",Blue_headed_Vireo,24
"A photo of a Blue winged Warbler, a type of bird.",Blue_winged_Warbler,25
"A photo of a Boat tailed Grackle, a type of bird.",Boat_tailed_Grackle,26
"A photo of a Bobolink, a type of bird.",Bobolink,27
"A photo of a Bohemian Waxwing, a type of bird.",Bohemian_Waxwing,28
"A photo of a Brandt Cormorant, a type of bird.",Brandt_Cormorant,29
"A photo of a Brewer Blackbird, a type of bird.",Brewer_Blackbird,30
"A photo of a Brewer Sparrow, a type of bird.",Brewer_Sparrow,31
"A photo of a Bronzed Cowbird, a type of bird.",Bronzed_Cowbird,32
"A photo of a Brown Creeper, a type of bird.",Brown_Creeper,33
"A photo of a Brown Pelican, a type of bird.",Brown_Pelican,34
"A photo of a Brown Thrasher, a type of bird.",Brown_Thrasher,35
"A photo of a Cactus Wren, a type of bird.",Cactus_Wren,36
"A photo of a California Gull, a type of bird.",California_Gull,37
"A photo of a Canada Warbler, a type of bird.",Canada_Warbler,38
"A photo of a Cape Glossy Starling, a type of bird.",Cape_Glossy_Starling,39
"A photo of a Cape May Warbler, a type of bird.",Cape_May_Warbler,40
"A photo of a Cardinal, a type of bird.",Cardinal,41
"A photo of a Carolina Wren, a type of bird.",Carolina_Wren,42
"A photo of a Caspian Tern, a type of bird.",Caspian_Tern,43
"A photo of a Cedar Waxwing, a type of bird.",Cedar_Waxwing,44
"A photo of a Cerulean Warbler, a type of bird.",Cerulean_Warbler,45
"A photo of a Chestnut sided Warbler, a type of bird.",Chestnut_sided_Warbler,46
"A photo of a Chipping Sparrow, a type of bird.",Chipping_Sparrow,47
"A photo of a Chuck will Widow, a type of bird.",Chuck_will_Widow,48
"A photo of a Clark Nutcracker, a type of bird.",Clark_Nutcracker,49
"A photo of a Clay colored Sparrow, a type of bird.",Clay_colored_Sparrow,50
"A photo of a Cliff Swallow, a type of bird.",Cliff_Swallow,51
"A photo of a Common Raven, a type of bird.",Common_Raven,52
"A photo of a Common Tern, a type of bird.",Common_Tern,53
"A photo of a Common Yellowthroat, a type of bird.",Common_Yellowthroat,54
"A photo of a Crested Auklet, a type of bird.",Crested_Auklet,55
"A photo of a Dark eyed Junco, a type of bird.",Dark_eyed_Junco,56
"A photo of a Downy Woodpecker, a type of bird.",Downy_Woodpecker,57
"A photo of a Eared Grebe, a type of bird.",Eared_Grebe,58
"A photo of a Eastern Towhee, a type of bird.",Eastern_Towhee,59
"A photo of a Elegant Tern, a type of bird.",Elegant_Tern,60
"A photo of a European Goldfinch, a type of bird.",European_Goldfinch,61
"A photo of a Evening Grosbeak, a type of bird.",Evening_Grosbeak,62
"A photo of a Field Sparrow, a type of bird.",Field_Sparrow,63
"A photo of a Fish Crow, a type of bird.",Fish_Crow,64
"A photo of a Florida Jay, a type of bird.",Florida_Jay,65
"A photo of a Forsters Tern, a type of bird.",Forsters_Tern,66
"A photo of a Fox Sparrow, a type of bird.",Fox_Sparrow,67
"A photo of a Frigatebird, a type of bird.",Frigatebird,68
"A photo of a Gadwall, a type of bird.",Gadwall,69
"A photo of a Geococcyx, a type of bird.",Geococcyx,70
"A photo of a Glaucous winged Gull, a type of bird.",Glaucous_winged_Gull,71
"A photo of a Golden winged Warbler, a type of bird.",Golden_winged_Warbler,72
"A photo of a Grasshopper Sparrow, a type of bird.",Grasshopper_Sparrow,73
"A photo of a Gray Catbird, a type of bird.",Gray_Catbird,74
"A photo of a Gray Kingbird, a type of bird.",Gray_Kingbird,75
"A photo of a Gray crowned Rosy Finch, a type of bird.",Gray_crowned_Rosy_Finch,76
"A photo of a Great Crested Flycatcher, a type of bird.",Great_Crested_Flycatcher,77
"A photo of a Great Grey Shrike, a type of bird.",Great_Grey_Shrike,78
"A photo of a Green Jay, a type of bird.",Green_Jay,79
"A photo of a Green Kingfisher, a type of bird.",Green_Kingfisher,80
"A photo of a Green Violetear, a type of bird.",Green_Violetear,81
"A photo of a Green tailed Towhee, a type of bird.",Green_tailed_Towhee,82
"A photo of a Groove billed Ani, a type of bird.",Groove_billed_Ani,83
"A photo of a Harris Sparrow, a type of bird.",Harris_Sparrow,84
"A photo of a Heermann Gull, a type of bird.",Heermann_Gull,85
"A photo of a Henslow Sparrow, a type of bird.",Henslow_Sparrow,86
"A photo of a Herring Gull, a type of bird.",Herring_Gull,87
"A photo of a Hooded Merganser, a type of bird.",Hooded_Merganser,88
"A photo of a Hooded Oriole, a type of bird.",Hooded_Oriole,89
"A photo of a Hooded Warbler, a type of bird.",Hooded_Warbler,90
"A photo of a Horned Grebe, a type of bird.",Horned_Grebe,91
"A photo of a Horned Lark, a type of bird.",Horned_Lark,92
"A photo of a Horned Puffin, a type of bird.",Horned_Puffin,93
"A photo of a House Sparrow, a type of bird.",House_Sparrow,94
"A photo of a House Wren, a type of bird.",House_Wren,95
"A photo of a Indigo Bunting, a type of bird.",Indigo_Bunting,96
"A photo of a Ivory Gull, a type of bird.",Ivory_Gull,97
"A photo of a Kentucky Warbler, a type of bird.",Kentucky_Warbler,98
"A photo of a Laysan Albatross, a type of bird.",Laysan_Albatross,99
"A photo of a Lazuli Bunting, a type of bird.",Lazuli_Bunting,100
"A photo of a Le Conte Sparrow, a type of bird.",Le_Conte_Sparrow,101
"A photo of a Least Auklet, a type of bird.",Least_Auklet,102
"A photo of a Least Flycatcher, a type of bird.",Least_Flycatcher,103
"A photo of a Least Tern, a type of bird.",Least_Tern,104
"A photo of a Lincoln Sparrow, a type of bird.",Lincoln_Sparrow,105
"A photo of a Loggerhead Shrike, a type of bird.",Loggerhead_Shrike,106
"A photo of a Long tailed Jaeger, a type of bird.",Long_tailed_Jaeger,107
"A photo of a Louisiana Waterthrush, a type of bird.",Louisiana_Waterthrush,108
"A photo of a Magnolia Warbler, a type of bird.",Magnolia_Warbler,109
"A photo of a Mallard, a type of bird.",Mallard,110
"A photo of a Mangrove Cuckoo, a type of bird.",Mangrove_Cuckoo,111
"A photo of a Marsh Wren, a type of bird.",Marsh_Wren,112
"A photo of a Mockingbird, a type of bird.",Mockingbird,113
"A photo of a Mourning Warbler, a type of bird.",Mourning_Warbler,114
"A photo of a Myrtle Warbler, a type of bird.",Myrtle_Warbler,115
"A photo of a Nashville Warbler, a type of bird.",Nashville_Warbler,116
"A photo of a Nelson Sharp tailed Sparrow, a type of bird.",Nelson_Sharp_tailed_Sparrow,117
"A photo of a Nighthawk, a type of bird.",Nighthawk,118
"A photo of a Northern Flicker, a type of bird.",Northern_Flicker,119
"A photo of a Northern Fulmar, a type of bird.",Northern_Fulmar,120
"A photo of a Northern Waterthrush, a type of bird.",Northern_Waterthrush,121
"A photo of a Olive sided Flycatcher, a type of bird.",Olive_sided_Flycatcher,122
"A photo of a Orange crowned Warbler, a type of bird.",Orange_crowned_Warbler,123
"A photo of a Orchard Oriole, a type of bird.",Orchard_Oriole,124
"A photo of a Ovenbird, a type of bird.",Ovenbird,125
"A photo of a Pacific Loon, a type of bird.",Pacific_Loon,126
"A photo of a Painted Bunting, a type of bird.",Painted_Bunting,127
"A photo of a Palm Warbler, a type of bird.",Palm_Warbler,128
"A photo of a Parakeet Auklet, a type of bird.",Parakeet_Auklet,129
"A photo of a Pelagic Cormorant, a type of bird.",Pelagic_Cormorant,130
"A photo of a Philadelphia Vireo, a type of bird.",Philadelphia_Vireo,131
"A photo of a Pied Kingfisher, a type of bird.",Pied_Kingfisher,132
"A photo of a Pied billed Grebe, a type of bird.",Pied_billed_Grebe,133
"A photo of a Pigeon Guillemot, a type of bird.",Pigeon_Guillemot,134
"A photo of a Pileated Woodpecker, a type of bird.",Pileated_Woodpecker,135
"A photo of a Pine Grosbeak, a type of bird.",Pine_Grosbeak,136
"A photo of a Pine Warbler, a type of bird.",Pine_Warbler,137
"A photo of a Pomarine Jaeger, a type of bird.",Pomarine_Jaeger,138
"A photo of a Prairie Warbler, a type of bird.",Prairie_Warbler,139
"A photo of a Prothonotary Warbler, a type of bird.",Prothonotary_Warbler,140
"A photo of a Purple Finch, a type of bird.",Purple_Finch,141
"A photo of a Red bellied Woodpecker, a type of bird.",Red_bellied_Woodpecker,142
"A photo of a Red breasted Merganser, a type of bird.",Red_breasted_Merganser,143
"A photo of a Red cockaded Woodpecker, a type of bird.",Red_cockaded_Woodpecker,144
"A photo of a Red eyed Vireo, a type of bird.",Red_eyed_Vireo,145
"A photo of a Red faced Cormorant, a type of bird.",Red_faced_Cormorant,146
"A photo of a Red headed Woodpecker, a type of bird.",Red_headed_Woodpecker,147
"A photo of a Red legged Kittiwake, a type of bird.",Red_legged_Kittiwake,148
"A photo of a Red winged Blackbird, a type of bird.",Red_winged_Blackbird,149
"A photo of a Rhinoceros Auklet, a type of bird.",Rhinoceros_Auklet,150
"A photo of a Ring billed Gull, a type of bird.",Ring_billed_Gull,151
"A photo of a Ringed Kingfisher, a type of bird.",Ringed_Kingfisher,152
"A photo of a Rock Wren, a type of bird.",Rock_Wren,153
"A photo of a Rose breasted Grosbeak, a type of bird.",Rose_breasted_Grosbeak,154
"A photo of a Ruby throated Hummingbird, a type of bird.",Ruby_throated_Hummingbird,155
"A photo of a Rufous Hummingbird, a type of bird.",Rufous_Hummingbird,156
"A photo of a Rusty Blackbird, a type of bird.",Rusty_Blackbird,157
"A photo of a Sage Thrasher, a type of bird.",Sage_Thrasher,158
"A photo of a Savannah Sparrow, a type of bird.",Savannah_Sparrow,159
"A photo of a Sayornis, a type of bird.",Sayornis,160
"A photo of a Scarlet Tanager, a type of bird.",Scarlet_Tanager,161
"A photo of a Scissor tailed Flycatcher, a type of bird.",Scissor_tailed_Flycatcher,162
"A photo of a Scott Oriole, a type of bird.",Scott_Oriole,163
"A photo of a Seaside Sparrow, a type of bird.",Seaside_Sparrow,164
"A photo of a Shiny Cowbird, a type of bird.",Shiny_Cowbird,165
"A photo of a Slaty backed Gull, a type of bird.",Slaty_backed_Gull,166
"A photo of a Song Sparrow, a type of bird.",Song_Sparrow,167
"A photo of a Sooty Albatross, a type of bird.",Sooty_Albatross,168
"A photo of a Spotted Catbird, a type of bird.",Spotted_Catbird,169
"A photo of a Summer Tanager, a type of bird.",Summer_Tanager,170
"A photo of a Swainson Warbler, a type of bird.",Swainson_Warbler,171
"A photo of a Tennessee Warbler, a type of bird.",Tennessee_Warbler,172
"A photo of a Tree Sparrow, a type of bird.",Tree_Sparrow,173
"A photo of a Tree Swallow, a type of bird.",Tree_Swallow,174
"A photo of a Tropical Kingbird, a type of bird.",Tropical_Kingbird,175
"A photo of a Vermilion Flycatcher, a type of bird.",Vermilion_Flycatcher,176
"A photo of a Vesper Sparrow, a type of bird.",Vesper_Sparrow,177
"A photo of a Warbling Vireo, a type of bird.",Warbling_Vireo,178
"A photo of a Western Grebe, a type of bird.",Western_Grebe,179
"A photo of a Western Gull, a type of bird.",Western_Gull,180
"A photo of a Western Meadowlark, a type of bird.",Western_Meadowlark,181
"A photo of a Western Wood Pewee, a type of bird.",Western_Wood_Pewee,182
"A photo of a Whip poor Will, a type of bird.",Whip_poor_Will,183
"A photo of a White Pelican, a type of bird.",White_Pelican,184
"A photo of a White breasted Kingfisher, a type of bird.",White_breasted_Kingfisher,185
"A photo of a White breasted Nuthatch, a type of bird.",White_breasted_Nuthatch,186
"A photo of a White crowned Sparrow, a type of bird.",White_crowned_Sparrow,187
"A photo of a White eyed Vireo, a type of bird.",White_eyed_Vireo,188
"A photo of a White necked Raven, a type of bird.",White_necked_Raven,189
"A photo of a White throated Sparrow, a type of bird.",White_throated_Sparrow,190
"A photo of a Wilson Warbler, a type of bird.",Wilson_Warbler,191
"A photo of a Winter Wren, a type of bird.",Winter_Wren,192
"A photo of a Worm eating Warbler, a type of bird.",Worm_eating_Warbler,193
"A photo of a Yellow Warbler, a type of bird.",Yellow_Warbler,194
"A photo of a Yellow bellied Flycatcher, a type of bird.",Yellow_bellied_Flycatcher,195
"A photo of a Yellow billed Cuckoo, a type of bird.",Yellow_billed_Cuckoo,196
"A photo of a Yellow breasted Chat, a type of bird.",Yellow_breasted_Chat,197
"A photo of a Yellow headed Blackbird, a type of bird.",Yellow_headed_Blackbird,198
"A photo of a Yellow throated Vireo, a type of bird.",Yellow_throated_Vireo,199
